terrain,count,mean_ssim,mean_psnr,mean_mae
agri,64,0.28000050550326705,14.611618509583774,0.153024481725879
barrenland,14,0.14212769961782865,11.032961379152269,0.24700049523796355
grassland,32,0.2553587006404996,15.063693508297845,0.15675871958956122
urban,90,0.11348453967107666,13.633987025796152,0.16512420392698712
