epoch,g_loss,d_loss,l1,adversarial,perceptual,feature_matching,val_l1,seconds
1,70.26081181526185,0.11056372708082199,0.3209352383539081,3.2009295501708985,3.0926064553260804,0.4040293961018324,0.45213175503412883,297.8168931007385
2,68.80351471328736,0.04610842484235764,0.30055421801656484,3.8817197265625,3.0904516396522523,0.39618568152189254,0.47580415455500286,286.89813709259033
3,67.62506120681763,0.03331037399172783,0.28897080215066673,4.0515751953125,3.070813284635544,0.39682729038596154,0.456397763967514,287.20720648765564
4,67.1802101726532,0.04613768145442009,0.2844146364927292,3.7422838745117186,3.1217521798610686,0.37789407864212987,0.4066817812124888,288.7930645942688
5,67.15207896614075,0.06968540340662002,0.28115737398713825,3.54079833984375,3.181106408238411,0.36844791074097155,0.41432658465703326,288.7776930332184
6,66.17509163093567,0.033508834660053256,0.27400945353507994,4.028187255859375,3.0995653353929518,0.3750305822789669,0.4181034967104594,286.95981645584106
7,65.36772487068177,0.022926512479782106,0.2691408465728164,4.20839013671875,3.042946175694466,0.381578841984272,0.42841630466779074,289.1118321418762
8,65.18467493629456,0.031139855563640594,0.2674069984331727,3.9719814453125,3.0730366829633713,0.3741626876145601,0.4335884869893392,287.8078670501709
9,64.82093486213684,0.025917709738016128,0.2649585280865431,3.9948837890625,3.0614954184293746,0.3715244083553553,0.4805070120493571,289.36820888519287
10,64.8212629070282,0.0353324873149395,0.2639700545221567,4.007099609375,3.073114055633545,0.36860172227025034,0.42800353789329526,289.24666380882263
11,64.46040686035157,0.024811287760734557,0.2613075731471181,4.025046875,3.061445797562599,0.36901447251439096,0.46956859827041625,288.8427152633667
12,64.60006686973571,0.03297883090376854,0.26060463807731865,4.14424951171875,3.07569873380661,0.36383661711215975,0.424390008131663,288.87263083457947
13,64.16119089126587,0.026762090981006622,0.2586675407588482,4.143421875,3.052871075093746,0.36223041953146456,0.45718533770243325,289.03589820861816
14,63.88486664581299,0.01812165156006813,0.257087948679924,4.147439453125,3.039663377225399,0.3631998650282621,0.42316929904619854,287.7939410209656
15,63.938535835266116,0.027968748927116396,0.2555161562934518,4.357642578125,3.0389292521476747,0.36399851739406586,0.4231401387055715,288.36227321624756
16,63.738677139282224,0.028476835429668425,0.25427176501601934,4.1755927734375,3.054263635754585,0.3593271495550871,0.433206778605779,289.1055688858032
17,63.797453945159916,0.034209170192480085,0.25352477438747884,4.1762744140625,3.0706997151374815,0.3561704991161823,0.42983869965871174,288.7066082954407
18,63.48298747444153,0.027476825267076493,0.25193479655683043,4.2097021484375,3.051089957177639,0.3568906115591526,0.4512269630432129,289.7761127948761
19,63.58578981399536,0.03732783916592598,0.25154155552014706,4.2052490234375,3.0675485507249833,0.35508997696638106,0.43885173845291137,290.38053250312805
20,63.50443766212464,0.035068344801664354,0.2495451578311622,4.26039111328125,3.0749104228019712,0.35404264968633653,0.4238032780488332,288.54904651641846
21,63.61483078956604,0.042779101133346556,0.24916054348647595,4.3342109375,3.085500634789467,0.3509559178352356,0.4242851413091024,289.1866590976715
22,63.3816781578064,0.0372061553299427,0.248208922855556,4.26312353515625,3.0791419818401335,0.3506242591142654,0.43387565223375957,289.6832799911499
23,63.29994958877563,0.036398264288902284,0.24653322234377265,4.4027822265625,3.0733483105301858,0.3510362059101462,0.42761868023872374,289.79302763938904
24,63.32049756813049,0.03854759255051613,0.24559840516000986,4.42200439453125,3.0837420259714126,0.35012323564291,0.42090563917160034,287.9769175052643
25,63.11593843650818,0.03696442383527756,0.24441369471698998,4.19764892578125,3.0998813815116883,0.34781062296032905,0.5029225257237753,289.0944118499756
26,63.03376554298401,0.03602002030611038,0.2433025444149971,4.325623046875,3.0917927072048186,0.345996096432209,0.45891800459225973,288.080011844635
27,63.06168412017822,0.04083203223347664,0.24268171180039644,4.27363671875,3.1052891291379927,0.34669850577414035,0.4475486948490143,289.0058083534241
28,63.01232612991333,0.04329247584939003,0.2417846221253276,4.338929931640625,3.1055138221383096,0.3439795797765255,0.4227318839232127,292.25814175605774
29,63.02542414855957,0.041759761244058606,0.24169538168609142,4.34513330078125,3.107977923512459,0.3430973562300205,0.4252465224266052,292.8530304431915
30,62.89348650169372,0.042482867568731306,0.24025356049463154,4.258026611328125,3.1191115579009057,0.3418988331258297,0.43221769547462463,290.2899739742279
