epoch,g_loss,d_loss,l1,adversarial,perceptual,feature_matching,val_l1,seconds
1,0.31282461573183534,0.0,0.31282461573183534,0.0,0.0,0.0,0.5102684859434764,103.80682873725891
2,0.29348786546289923,0.0,0.29348786546289923,0.0,0.0,0.0,0.4145166916847229,93.88508439064026
3,0.2843937331065536,0.0,0.2843937331065536,0.0,0.0,0.0,0.40895918051401775,93.95379304885864
4,0.27898987009376286,0.0,0.27898987009376286,0.0,0.0,0.0,0.4316098860104879,94.64165353775024
5,0.2751236712783575,0.0,0.2751236712783575,0.0,0.0,0.0,0.4053968397776286,94.59298658370972
6,0.27131308314949276,0.0,0.27131308314949276,0.0,0.0,0.0,0.40864500602086384,94.56651544570923
7,0.2680175891295075,0.0,0.2680175891295075,0.0,0.0,0.0,0.4310735697746277,94.47113299369812
8,0.26553663838654756,0.0,0.26553663838654756,0.0,0.0,0.0,0.43273048782348633,94.80876803398132
9,0.2634915709346533,0.0,0.2634915709346533,0.0,0.0,0.0,0.4386475710074107,95.04796648025513
10,0.2616101301163435,0.0,0.2616101301163435,0.0,0.0,0.0,0.43897847708066307,94.99756193161011
11,0.2598688846603036,0.0,0.2598688846603036,0.0,0.0,0.0,0.38818178955713906,94.77878165245056
12,0.2583204841688275,0.0,0.2583204841688275,0.0,0.0,0.0,0.43342485825220745,94.84566402435303
13,0.25651740933954714,0.0,0.25651740933954714,0.0,0.0,0.0,0.42703659598032634,94.76786804199219
14,0.25527754969894884,0.0,0.25527754969894884,0.0,0.0,0.0,0.41225482257207235,94.66574907302856
15,0.2537573826983571,0.0,0.2537573826983571,0.0,0.0,0.0,0.45546506492296857,93.79140329360962
16,0.2525650888159871,0.0,0.2525650888159871,0.0,0.0,0.0,0.42398600538571674,94.26028347015381
17,0.25131129708886146,0.0,0.25131129708886146,0.0,0.0,0.0,0.4375146013100942,95.44223475456238
18,0.25019452565163375,0.0,0.25019452565163375,0.0,0.0,0.0,0.45684904837608337,95.64475202560425
19,0.24863798470795154,0.0,0.24863798470795154,0.0,0.0,0.0,0.43450961510340375,96.04167771339417
20,0.24716316565871238,0.0,0.24716316565871238,0.0,0.0,0.0,0.43177495161692303,95.99839639663696
21,0.24612763464823365,0.0,0.24612763464823365,0.0,0.0,0.0,0.4323978403409322,96.03830766677856
22,0.24503079878166317,0.0,0.24503079878166317,0.0,0.0,0.0,0.4218428502877553,95.7318115234375
23,0.24346435325220228,0.0,0.24346435325220228,0.0,0.0,0.0,0.45132355093955995,94.73567843437195
24,0.2429693063609302,0.0,0.2429693063609302,0.0,0.0,0.0,0.42844878538449604,95.6008358001709
25,0.24193587204813957,0.0,0.24193587204813957,0.0,0.0,0.0,0.4441675696372986,96.114022731781
26,0.24134450407326222,0.0,0.24134450407326222,0.0,0.0,0.0,0.44343859306971234,96.01295518875122
27,0.23966869001835583,0.0,0.23966869001835583,0.0,0.0,0.0,0.4612548971970876,96.26055932044983
28,0.23879044868797064,0.0,0.23879044868797064,0.0,0.0,0.0,0.4311823166211446,95.83069777488708
29,0.23792525957152247,0.0,0.23792525957152247,0.0,0.0,0.0,0.4383343613942464,95.93322896957397
30,0.23706736060976982,0.0,0.23706736060976982,0.0,0.0,0.0,0.45552894282341005,95.93110585212708
