epoch,g_loss,d_loss,l1,adversarial,perceptual,feature_matching,val_l1,seconds
1,36.869666642189024,0.26128962883190254,0.3389029879942536,2.9793679449632764,0.0,0.0,0.4855928741296132,164.69328927993774
2,35.66504038238526,0.2564728227467276,0.32654655115306375,3.0103852792978287,0.0,0.0,0.44405033167203267,159.90397381782532
3,35.27418785476684,0.2585679390374571,0.3223285692408681,3.041330953657627,0.0,0.0,0.49019190883636476,159.67122173309326
4,34.167807489395145,0.2909904477722012,0.3143061211556196,2.7371953838318586,0.0,0.0,0.48656366833051046,159.76357102394104
5,33.496800722122195,0.29982369009964166,0.3088141430541873,2.615386429578066,0.0,0.0,0.4920552813212077,159.87428760528564
6,33.052388924598695,0.2985498159071431,0.3044864027649164,2.6037486566752195,0.0,0.0,0.4921423221429189,159.25884819030762
7,32.768899207115176,0.29794832185935227,0.3017321772649884,2.5956814606934784,0.0,0.0,0.5141290029684703,159.67862558364868
8,32.51346859836578,0.2914188066395,0.29856592436879875,2.6568762111067774,0.0,0.0,0.4447646827697754,159.8850474357605
9,32.394680265426636,0.2810424465853721,0.2967334696874023,2.7213333349227904,0.0,0.0,0.4360143191019694,159.89507603645325
10,32.239265946388244,0.2737145797358826,0.29434923171252014,2.8043428014218805,0.0,0.0,0.47307450278600055,158.79479122161865
11,32.13468045282364,0.2677519669434987,0.2926665348559618,2.868027025669813,0.0,0.0,0.47761208804448446,158.70245575904846
12,31.94912847995758,0.26711376484530047,0.2905340556278825,2.8957229304015635,0.0,0.0,0.4759884303410848,159.7415850162506
13,31.789936223983766,0.2748379462733865,0.2894323543012142,2.846700783163309,0.0,0.0,0.483655477364858,159.6866557598114
14,31.58618427658081,0.2729973718272522,0.28740574154257775,2.8456100876629353,0.0,0.0,0.4493769592444102,158.75126099586487
15,31.45288431739807,0.2735197194879875,0.28587611216306685,2.865273108780384,0.0,0.0,0.467218158642451,159.21601676940918
16,31.212985125541685,0.27273025272227824,0.28357494074106215,2.8554910561293365,0.0,0.0,0.48282982619603476,159.81061244010925
17,31.06892588472366,0.2783880090969615,0.28223993099480865,2.8449328302145003,0.0,0.0,0.47076704676946,159.8487057685852
18,30.915790886878966,0.27825624670274557,0.28084585163742304,2.8312057414650917,0.0,0.0,0.480246918519338,159.98624873161316
19,30.77890991783142,0.27541615614295006,0.2794450598806143,2.834403926640749,0.0,0.0,0.4584825851122538,159.48057913780212
20,30.617358180046082,0.28123124851100145,0.2780509258359671,2.812265569627285,0.0,0.0,0.473309067885081,159.40627789497375
21,30.465222995758058,0.28277479244861753,0.2766094529107213,2.8042776783704757,0.0,0.0,0.4464835729598999,159.63292527198792
22,30.326618870735167,0.2834610212109983,0.27515000066906214,2.8116188150942327,0.0,0.0,0.46180218815803525,159.06048226356506
23,30.20090968608856,0.2929657005704939,0.27425763426348565,2.7751462757438423,0.0,0.0,0.47980253767967224,158.87699675559998
24,30.020909440040587,0.2930667083840817,0.2728970451802015,2.731204968854785,0.0,0.0,0.44526576272646584,159.22287273406982
25,29.902325320243836,0.2952766765048727,0.2718576034232974,2.7165650018900633,0.0,0.0,0.4698903755346934,159.644859790802
26,29.751723657608032,0.3043023224435747,0.2705181580260396,2.699907852679491,0.0,0.0,0.4604722578525543,159.68801999092102
27,29.60602339220047,0.30354424042440953,0.2693702774979174,2.6689956496357916,0.0,0.0,0.44966238180796303,160.11597347259521
28,29.458796498298646,0.3061416263114661,0.2679002078548074,2.668775710314512,0.0,0.0,0.45156872685750327,160.4661762714386
29,29.368157239437103,0.3032457001199946,0.26704105135425926,2.664052129611373,0.0,0.0,0.469735894203186,160.73393774032593
30,29.295867656707763,0.3053336703944951,0.266178616411984,2.6780059942007064,0.0,0.0,0.46620288769404095,160.68886613845825
